disease_mondo_term_norm,disease_mondo_termid,Disease Class
Anterior cord syndrome of cervical spinal cord at C5 level,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C6 level,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C7 level,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C8 level,-1,Diseases of the nervous system
"Anterior cord syndrome of cervical spinal cord, multiple levels",-1,Diseases of the nervous system
pelvis syndrome,MONDO:0019388,Diseases of the nervous system
Anterior cord syndrome of lumbar spinal cord at L1 level,-1,Diseases of the nervous system
Anterior cord syndrome of lumbar spinal cord at L2 level,-1,Diseases of the nervous system
Anterior cord syndrome of lumbar spinal cord at L3 level,-1,Diseases of the nervous system
Anterior cord syndrome of lumbar spinal cord at L4 level,-1,Diseases of the nervous system
Anterior cord syndrome of lumbar spinal cord at L5 level,-1,Diseases of the nervous system
"Anterior cord syndrome of lumbar spinal cord, multiple levels",-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T1 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T10 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T11 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T12 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T2 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T3 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T4 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T5 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T6 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T7 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T8 level,-1,Diseases of the nervous system
Anterior cord syndrome of thoracic spinal cord at T9 level,-1,Diseases of the nervous system
"Anterior cord syndrome of thoracic spinal cord, multiple levels NOS",-1,Diseases of the nervous system
anterior ischemic optic neuropathy,MONDO:0006649,Diseases of the nervous system
optic neuritis,MONDO:0005885,Diseases of the nervous system
posterior meningocele,MONDO:0017076,Diseases of the nervous system
Anthrax meningitis,-1,Diseases of the nervous system
nosophobia,MONDO:0000600,Diseases of the nervous system
anti-NMDA receptor encephalitis,MONDO:0021081,Central Nervous System Diseases
anti-Mi2 dermatomyositis,MONDO:1010065,Diseases of the nervous system
Anti-synthetase syndrome with polymyositis,-1,Diseases of the nervous system
antisocial personality disorder,MONDO:0001164,Diseases of the nervous system
Danon disease,MONDO:0010281,Neurologic Manifestations
Anxiety disorder induced by multiple specified psychoactive substances,-1,Diseases of the nervous system
Anxiety disorder induced by other specified psychoactive substance,-1,Diseases of the nervous system
Anxiety disorder induced by unknown or unspecified psychoactive substance,-1,Diseases of the nervous system
anxiety disorder,MONDO:0005618,Diseases of the nervous system
Anxiety symptoms in dementia,-1,Diseases of the nervous system
Anxiolytic intoxication,-1,Diseases of the nervous system
avoidant personality disorder,MONDO:0002027,Diseases of the nervous system
"Aortic Stenoses, Hypercalcemia-Supravalvar",-1,Neurologic Manifestations
"Aortic Stenosis, Hypercalcemia-Supravalvar",-1,Neurologic Manifestations
Aortic valve endocarditis and mitral disease with active or acute chorea,-1,Diseases of the nervous system
Apathy in dementia,-1,Diseases of the nervous system
thoracic outlet syndrome,MONDO:0005979,Neuromuscular Diseases
GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,MONDO:0011842,Central Nervous System Diseases
progressive non-fluent aphasia,MONDO:0015059,Central Nervous System Diseases
Aphemia,-1,Diseases of the nervous system
aphthous stomatitis,MONDO:0004845,Neurologic Manifestations
sleep apnea syndrome,MONDO:0005296,Sleep Wake Disorders
obstructive sleep apnea syndrome,MONDO:0007147,Sleep Wake Disorders
Apoplexy,-1,Central Nervous System Diseases
pituitary apoplexy,MONDO:0006908,Central Nervous System Diseases
apraxia,MONDO:0000665,Diseases of the nervous system|Neurologic Manifestations
gait apraxia,MONDO:0006766,Neurologic Manifestations
ideomotor apraxia,MONDO:0006800,Neurologic Manifestations
arachnoid cyst,MONDO:0008813,Nervous System Neoplasms
Arachnophobia,-1,Diseases of the nervous system
mosquito-borne viral encephalitis,MONDO:0020601,Central Nervous System Diseases
Areflexia,-1,Diseases of the nervous system
Argentine hemorrhagic fever,MONDO:0017874,Diseases of the nervous system
Argyrophilic grain disease,-1,Diseases of the nervous system
Armstrong Syndrome,-1,Central Nervous System Diseases
Armstrong's Syndrome,-1,Central Nervous System Diseases
Chiari malformation,MONDO:0000115,Nervous System Malformations
Chiari malformation type I,MONDO:0007316,Diseases of the nervous system
Chiari malformation type II,MONDO:0008816,Diseases of the nervous system
aromatic L-amino acid decarboxylase deficiency,MONDO:0012084,Diseases of the nervous system
"Arousal Disorder, Sleep",-1,Sleep Wake Disorders
"Arousal Disorders, Sleep",-1,Sleep Wake Disorders
holoprosencephaly 1,MONDO:0009349,Diseases of the nervous system
Arsenic Poisoning,-1,Neurotoxicity Syndromes
"Arsenic Poisoning, Nervous System",-1,Neurotoxicity Syndromes
Arsenic Poisonings,-1,Neurotoxicity Syndromes
Arsenic polyneuropathy,-1,Diseases of the nervous system
Arsenical Neurotoxicity Syndrome,-1,Neurotoxicity Syndromes
Arsenical Neurotoxicity Syndromes,-1,Neurotoxicity Syndromes
carotid artery disorder,MONDO:0005269,Central Nervous System Diseases
cerebral arterial disease,MONDO:0006693,Central Nervous System Diseases
intracranial arterial disease,MONDO:0006808,Central Nervous System Diseases
intracranial arteriosclerosis,MONDO:0001632,Central Nervous System Diseases
Arteriosclerotic disease of extracranial portion of vertebral artery,-1,Diseases of the nervous system
Arteriosclerotic disease of intracranial portion of vertebral artery,-1,Diseases of the nervous system
arteritic anterior ischemic optic neuropathy,MONDO:0000498,Diseases of the nervous system
temporal arteritis,MONDO:0008538,Central Nervous System Diseases
vertebral artery dissection,MONDO:1040011,"Trauma, Nervous System"
"Artery Injuries, Carotid",-1,"Trauma, Nervous System"
"Artery Injury, Carotid",-1,"Trauma, Nervous System"
carotid stenosis,MONDO:0001612,Central Nervous System Diseases
subclavian steal syndrome,MONDO:0006983,Central Nervous System Diseases
"Artery Trauma, Carotid",-1,"Trauma, Nervous System"
obsolete tick-borne encephalitis,MONDO:0000274,Central Nervous System Diseases
Arthropod-Borne Encephalitides,-1,Central Nervous System Diseases
articulation disorder,MONDO:0002903,Neurologic Manifestations
Asauria,-1,Central Nervous System Diseases
aseptic meningitis,MONDO:0006662,Diseases of the nervous system
anosognosia,MONDO:0000663,Diseases of the nervous system
Asperger syndrome,MONDO:0005259,Diseases of the nervous system
Aspergillus meningitis,-1,Diseases of the nervous system
Aspiration pneumonitis due to anaesthesia during labour or delivery,-1,Diseases of the nervous system
Aspiration pneumonitis due to anaesthesia during pregnancy,-1,Diseases of the nervous system
Aspiration pneumonitis due to anaesthesia during the puerperium,-1,Diseases of the nervous system
"Associated Encephalopathies, Sepsis",-1,Central Nervous System Diseases
"Associated Encephalopathy, Sepsis",-1,Central Nervous System Diseases
astereognosia,MONDO:0000680,Diseases of the nervous system
asternia,MONDO:0022509,Diseases of the nervous system
Asthenic personality disorder,-1,Diseases of the nervous system
astrocytic tumor,MONDO:0021636,Diseases of the nervous system
Asymbolia,-1,Diseases of the nervous system
Asymptomatic occlusion of anterior cerebral artery,-1,Diseases of the nervous system
Asymptomatic occlusion of basilar artery,-1,Diseases of the nervous system
Asymptomatic occlusion of certain specified intracranial or extracranial artery,-1,Diseases of the nervous system
Asymptomatic occlusion of extracranial carotid artery,-1,Diseases of the nervous system
Asymptomatic occlusion of extracranial vertebral artery,-1,Diseases of the nervous system
Asymptomatic occlusion of intracranial carotid artery,-1,Diseases of the nervous system
Asymptomatic occlusion of intracranial or extracranial artery,-1,Diseases of the nervous system
Asymptomatic occlusion of intracranial vertebral artery,-1,Diseases of the nervous system
Asymptomatic occlusion of middle cerebral artery,-1,Diseases of the nervous system
Asymptomatic occlusion of posterior cerebral artery,-1,Diseases of the nervous system
Asymptomatic stenosis of anterior cerebral artery,-1,Diseases of the nervous system
Asymptomatic stenosis of basilar artery,-1,Diseases of the nervous system
Asymptomatic stenosis of certain specified intracranial or extracranial artery,-1,Diseases of the nervous system
Asymptomatic stenosis of extracranial carotid artery,-1,Diseases of the nervous system
Asymptomatic stenosis of extracranial vertebral artery,-1,Diseases of the nervous system
Asymptomatic stenosis of intracranial carotid artery,-1,Diseases of the nervous system
Asymptomatic stenosis of intracranial or extracranial artery,-1,Diseases of the nervous system
Asymptomatic stenosis of intracranial vertebral artery,-1,Diseases of the nervous system
Asymptomatic stenosis of middle cerebral artery,-1,Diseases of the nervous system
Asymptomatic stenosis of posterior cerebral artery,-1,Diseases of the nervous system
Asynergy,-1,Diseases of the nervous system
cerebellar ataxia,MONDO:0000437,Neurologic Manifestations
ataxia - deafness - intellectual disability syndrome,MONDO:0008838,Diseases of the nervous system
ataxia telangiectasia,MONDO:0008840,Neurocutaneous Syndromes
cerebrotendinous xanthomatosis,MONDO:0008948,Diseases of the nervous system
Ataxia due to Marinesco-SjÃ¶gren syndrome,-1,Diseases of the nervous system
Ataxia due to POLG mutations MIRAS,-1,Diseases of the nervous system
obsolete Refsum disease,MONDO:0021665,Diseases of the nervous system
abetalipoproteinemia,MONDO:0008692,Diseases of the nervous system
Ataxia due to acquired vitamin deficiency,-1,Diseases of the nervous system
Ataxia due to alcoholic cerebellar degeneration,-1,Diseases of the nervous system
Ataxia due to certain specified toxins,-1,Diseases of the nervous system
recessive mitochondrial ataxia syndrome,MONDO:0019791,Diseases of the nervous system
"multiple system atrophy, cerebellar type",MONDO:0016418,Diseases of the nervous system
Ataxia due to other immune-mediated problems,-1,Diseases of the nervous system
paraneoplastic neurologic syndrome,MONDO:0018215,Diseases of the nervous system
superficial siderosis,MONDO:0016594,Diseases of the nervous system
Ataxia in chronic central nervous system infection,-1,Diseases of the nervous system
pyruvate carboxylase deficiency disease,MONDO:0009949,Central Nervous System Diseases
myoclonic cerebellar dyssynergia,MONDO:0008945,Central Nervous System Diseases
Friedreich ataxia,MONDO:0100339,Central Nervous System Diseases
pyruvate dehydrogenase E1-alpha deficiency,MONDO:0010717,Neurologic Manifestations
"Ataxia, Presenile",-1,Central Nervous System Diseases
ataxia-telangiectasia-like disorder,MONDO:0011457,Diseases of the nervous system
"Ataxias, Presenile",-1,Central Nervous System Diseases
ataxic cerebral palsy,MONDO:0000397,Diseases of the nervous system
atactic disorder,MONDO:0100308,Diseases of the nervous system
Ataxic gait,-1,Diseases of the nervous system
Atheroma of extracranial portion of vertebral artery,-1,Diseases of the nervous system
Atheroma of intracranial portion of vertebral artery,-1,Diseases of the nervous system
Atherosclerosis of extracranial portion of carotid artery,-1,Diseases of the nervous system
Atherosclerosis of intracranial portion of carotid artery,-1,Diseases of the nervous system
Athetoid Movement,-1,Neurologic Manifestations
Athetoid Movements,-1,Neurologic Manifestations
athyreosis,MONDO:0019855,Neurologic Manifestations
Atlanto-axial dislocation,-1,Diseases of the nervous system
Atonia,-1,Diseases of the nervous system
atrophic muscular disease,MONDO:0004714,Neuromuscular Diseases
myotonic dystrophy,MONDO:0016107,Neurodegenerative Diseases
facioscapulohumeral muscular dystrophy,MONDO:0001347,Neuromuscular Diseases
facial hemiatrophy,MONDO:0007710,Cranial Nerve Diseases
hereditary optic atrophy,MONDO:0043878,Cranial Nerve Diseases
"autosomal dominant optic atrophy, classic form",MONDO:0008134,Cranial Nerve Diseases
Pick disease,MONDO:0008243,Central Nervous System Diseases
multiple system atrophy,MONDO:0007803,Central Nervous System Diseases
Charcot-Marie-Tooth disease,MONDO:0015626,Neuromuscular Diseases
striatonigral degeneration,MONDO:0003122,Central Nervous System Diseases
"Atrophies, Sudek's",-1,Autonomic Nervous System Diseases
Kennedy disease,MONDO:0010735,Neuromuscular Diseases
olivopontocerebellar atrophy,MONDO:0002017,Central Nervous System Diseases
pontocerebellar hypoplasia,MONDO:0020135,Central Nervous System Diseases
"Atrophy, Sudek",-1,Autonomic Nervous System Diseases
"Atrophy, Sudek's",-1,Autonomic Nervous System Diseases
"Attack, Cataleptic",-1,Sleep Wake Disorders
"Attack, Lightning",-1,Central Nervous System Diseases
transient ischemic attack,MONDO:0005264,Central Nervous System Diseases
"Attacks, Cataleptic",-1,Sleep Wake Disorders
"Attacks, Lightning",-1,Central Nervous System Diseases
attention deficit-hyperactivity disorder,MONDO:0007743,Diseases of the nervous system
"Attention deficit hyperactivity disorder, combined presentation",-1,Diseases of the nervous system
"attention deficit hyperactivity disorder, inattentive type",MONDO:0005302,Diseases of the nervous system
